G1RefProcDrainInterval,G1SATBBufferSize,G1SATBBufferEnqueueingThresholdPercent,G1UpdateBufferSize,G1ConfidencePercent,G1ConcRefinementServiceIntervalMillis,G1ConcMarkStepDurationMillis,G1ConcRSHotCardLimit,G1HeapWastePercent,G1MixedGCCountTarget,G1ReservePercent,G1RSetUpdatingPauseTimePercent,G1RSetScanBlockSize,G1UseAdaptiveConcRefinement,InitiatingHeapOccupancyPercent,ParallelGCThreads,MaxGCPauseMillis,ParallelRefProcEnabled,Mean,Stddv,Median,Per_75,Per_90,Per_95,Per_99,Throughput,Error
8,1043,68,256,40,281,7,13,4,11,11,17,1024,1,41,11,72,1,71.66,95.04,17.0,78.0,233.0,275.0,309.0,139.15,0
8,1031,63,512,40,186,6,3,12,5,9,9,256,0,42,11,216,0,23.67,36.54,12.0,29.0,61.0,72.0,103.0,407.91,0
8,1046,54,512,60,308,6,14,18,12,7,18,32,0,38,7,106,1,25.55,81.18,12.0,32.0,63.0,75.0,130.0,380.39,0
11,1056,69,1024,28,345,5,6,17,15,8,13,64,0,45,10,194,1,27.84,111.07,13.0,32.0,63.0,77.0,204.0,334.71,0
12,1026,59,64,24,360,6,6,19,16,6,9,16,1,55,5,193,0,24.25,81.17,12.0,29.0,60.0,70.0,94.0,378.98,0
9,1056,56,2048,66,174,4,4,13,12,4,17,64,0,37,10,191,1,29.21,129.22,13.0,33.0,63.0,77.0,217.0,320.84,0
9,1050,58,64,35,134,7,8,17,10,6,9,512,0,48,10,199,1,25.34,108.99,11.0,27.0,61.0,73.0,199.0,372.84,0
11,1040,57,128,59,114,11,10,16,6,10,18,16,0,56,10,214,0,25.52,126.76,12.0,29.0,61.0,73.0,108.0,364.6,0
12,1028,61,256,21,112,11,4,16,11,11,12,1024,0,54,1,136,0,23.24,59.2,12.0,28.0,59.0,69.0,91.0,409.43,0
9,1025,62,256,37,153,10,10,13,8,9,14,32,1,57,5,141,1,24.45,108.74,12.0,28.0,60.0,70.0,100.0,380.16,0
