AlwaysTenure,NeverTenure,ScavengeBeforeFullGC,ParallelGCThreads,ParallelGCBufferWastePct,MaxGCPauseMillis,UseMaximumCompactionOnSystemGC,ParallelOldDeadWoodLimiterMean,ParallelOldDeadWoodLimiterStdDev,AdaptiveSizeDecrementScaleFactor,AdaptiveSizeMajorGCDecayTimeScale,AdaptiveSizePolicyCollectionCostMargin,AdaptiveSizeThroughPutPolicy,BindGCTaskThreadsToCPUs,CollectGen0First,MinSurvivorRatio,NewRatio,OldPLABSize,PLABWeight,ResizeOldPLAB,SurvivorPadding,TargetSurvivorRatio,TenuredGenerationSizeIncrement,TenuredGenerationSizeSupplement,TenuredGenerationSizeSupplementDecay,UseAdaptiveGCBoundary,UseAdaptiveGenerationSizePolicyAtMajorCollection,UseAdaptiveGenerationSizePolicyAtMinorCollection,UseAdaptiveSizeDecayMajorGCCost,UseAdaptiveSizePolicyFootprintGoal,YoungGenerationSizeIncrement,YoungPLABSize,YoungGenerationSizeSupplement,YoungGenerationSizeSupplementDecay,Mean,Stddv,Median,Per_75,Per_90,Per_95,Per_99,Throughput,Error
1,1,0,8,10,193,0,83,58,4,10,55,1,1,1,2,1,1024,44,1,2,25,38,82,6,0,0,1,1,0,17,1024,66,8,22.38,46.99,11.0,26.0,58.0,68.0,94.0,410.06,0
1,0,0,1,13,199,0,74,84,1,9,49,0,0,0,2,1,1024,59,1,3,75,38,73,5,0,1,1,0,0,23,4096,88,3,20.17,54.0,10.0,22.0,53.0,63.0,90.0,457.95,0
0,1,0,3,13,85,0,49,52,4,16,54,1,1,1,3,1,1024,72,1,3,25,31,83,4,1,1,0,1,1,34,512,84,8,21.95,84.92,10.0,23.0,56.0,67.0,99.0,429.14,0
1,1,0,1,7,94,1,89,79,1,17,57,1,1,0,2,1,512,41,1,4,50,27,79,3,1,1,0,1,1,35,4096,89,8,20.43,57.55,10.0,22.0,55.0,65.0,92.0,462.39,0
1,0,0,6,8,85,0,83,76,3,12,41,0,1,0,3,2,2048,75,1,2,75,35,85,3,1,0,0,0,0,35,2048,60,4,21.35,68.35,11.0,24.0,57.0,66.0,89.0,441.13,0
1,1,1,3,14,181,0,38,87,2,18,31,0,1,1,1,2,512,69,0,4,25,27,82,2,1,0,0,1,1,26,1024,76,7,20.49,58.93,10.0,23.0,56.0,66.0,86.0,465.77,0
0,1,1,6,11,88,0,82,82,1,14,31,0,0,1,1,2,512,45,0,3,50,21,77,8,0,1,0,1,1,27,1024,70,8,22.89,84.68,11.0,25.0,58.0,69.0,97.0,400.07,0
1,0,0,1,10,177,1,41,62,3,19,57,1,1,1,1,3,2048,73,1,2,25,27,84,7,0,0,0,0,1,16,512,63,4,21.85,50.69,11.0,26.0,57.0,67.0,93.0,429.8,0
1,1,0,6,7,150,1,43,76,1,17,59,0,0,0,1,3,1024,54,1,2,25,15,70,9,0,1,1,1,0,22,4096,78,4,20.95,79.77,10.0,23.0,56.0,66.0,92.0,447.35,0
0,1,0,6,9,249,1,61,53,1,13,41,0,0,0,1,2,1024,62,1,3,50,16,71,6,0,1,1,0,1,17,4096,63,9,19.59,46.31,10.0,21.0,55.0,65.0,88.0,478.16,0
