ResizePLAB,ResizeOldPLAB,AlwaysPreTouch,ParallelRefProcEnabled,ParallelRefProcBalancingEnabled,UseTLAB,FastTLABRefill,UseAutoGCSelectPolicy,UseAdaptiveSizePolicy,UsePSAdaptiveSurvivorSizePolicy,UseAdaptiveGenerationSizePolicyAtMinorCollection,UseAdaptiveGenerationSizePolicyAtMajorCollection,UseAdaptiveSizePolicyWithSystemGC,UseAdaptiveGCBoundary,UseAdaptiveSizePolicyFootprintGoal,YoungPLABSize,OldPLABSize,GCTaskTimeStampEntries,TargetPLABWastePct,PLABWeight,OldPLABWeight,MarkStackSize,MarkStackSizeMax,RefDiscoveryPolicy,InitiatingHeapOccupancyPercent,ErgoHeapSizeLimit,MaxRAMFraction,MinRAMFraction,InitialRAMFraction,AutoGCSelectPauseMillis,AdaptiveSizeThroughPutPolicy,AdaptiveSizePausePolicy,AdaptiveSizePolicyInitializingSteps,AdaptiveSizePolicyOutputInterval,AdaptiveSizePolicyWeight,AdaptiveTimeWeight,PausePadding,PromotedPadding,SurvivorPadding,ThresholdTolerance,AdaptiveSizePolicyCollectionCostMargin,YoungGenerationSizeIncrement,YoungGenerationSizeSupplement,YoungGenerationSizeSupplementDecay,TenuredGenerationSizeIncrement,TenuredGenerationSizeSupplement,TenuredGenerationSizeSupplementDecay,GCTimeRatio,AdaptiveSizeDecrementScaleFactor,AdaptiveSizeMajorGCDecayTimeScale,MinSurvivorRatio,InitialSurvivorRatio,BaseFootPrintEstimate,GCHeapFreeLimit,ProcessDistributionStride,MaxGCPauseMillis,Mean,Stddv,Median,Per_75,Per_90,Per_95,Per_99,Throughput,Error
1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,256,32,123,9,74,53,6580571,540183434,0,76,4,3,4,67,3060,1,1,24,3019,80,51,16502,3,3,8,45,47,55,9,22,64,3,77,4,11,1,9,253352626,1,1,218,83.51,412.2,80.0,101.0,126.0,164.0,191.0,118.47,0
1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,256,128,243,6,54,53,5768209,492019159,0,89,4,1,3,64,2407,1,0,20,1947,46,92,23344,3,2,8,45,43,59,9,10,52,3,65,2,10,1,6,236418223,3,3,215,23.08,84.34,11.0,27.0,59.0,70.0,99.0,398.15,0
1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,256,64,148,12,65,28,5452449,459590746,1,20,1,1,2,65,4413,1,1,10,1841,85,77,29298,2,2,13,41,25,63,6,11,87,2,82,4,8,1,4,223938764,2,2,110,22.9,49.26,11.0,26.0,58.0,69.0,114.0,392.53,0
0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,2048,256,106,5,47,46,4392439,547781765,0,23,5,1,4,51,4447,0,0,19,273,51,59,2949,3,2,11,21,43,67,9,39,84,1,83,3,10,1,6,221905828,2,1,193,66.41,145.02,70.0,93.0,110.0,139.0,181.0,148.84,0
1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,256,32,196,11,54,80,6448626,569226526,0,72,2,2,4,64,3836,0,1,24,3816,51,24,757,1,1,9,62,31,63,8,40,69,4,66,4,10,2,5,274364848,2,3,246,21.94,72.7,11.0,24.0,57.0,66.0,91.0,429.38,0
1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,256,512,248,8,54,31,4182688,591288002,1,83,1,1,5,78,4721,0,0,17,4593,90,51,32431,4,1,9,40,23,70,9,39,58,3,62,3,11,1,9,251950278,2,2,161,21.83,47.42,10.0,23.0,57.0,68.0,97.0,423.98,0
0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,512,256,161,5,65,82,5299059,472802966,0,69,1,3,5,55,3239,1,0,11,4547,0,65,39647,2,3,9,52,19,64,5,30,85,1,86,3,9,2,8,237060921,3,2,80,27.35,86.66,13.0,31.0,63.0,77.0,175.0,315.45,0
1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,512,32,143,9,21,70,4020851,516097791,0,87,0,3,4,52,3882,1,0,17,4389,39,23,9361,1,2,9,39,37,88,5,12,53,1,93,3,8,2,8,238284059,1,2,238,21.61,63.21,10.0,24.0,57.0,67.0,88.0,435.64,0
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1024,1024,153,13,55,85,4291914,498274132,1,39,4,1,5,56,3399,0,1,22,3412,74,51,41535,2,2,11,83,12,68,6,11,51,4,79,3,12,2,6,288063177,2,1,54,20.12,53.89,10.0,22.0,54.0,64.0,87.0,463.65,0
0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1024,64,253,9,48,63,4932883,467869818,1,63,4,1,4,66,2665,1,0,20,2017,4,3,18068,4,2,10,71,11,71,7,49,66,2,87,4,11,2,4,265504082,2,1,92,23.62,90.17,11.0,25.0,56.0,67.0,136.0,375.63,0
